excavationNumbers	tablets
Ashm 1924,0924	P005291
Ashm 1926, 56	P005476
Ashm 1926,561	P005068
Ashm 1926,562	P005175
Ashm 1926,563	P005150
Ashm 1926,564	P005160
Ashm 1926,565	P005246
Ashm 1926,566	P005279
Ashm 1926,567	P005178
Ashm 1926,568	P005244
Ashm 1926,569	P005213
Ashm 1926,570	P005170
Ashm 1926,571	P005192
Ashm 1926,572	P005176
Ashm 1926,573	P005174
Ashm 1926,574+680	P005284
Ashm 1926,575	P005156
Ashm 1926,576	P005162
Ashm 1926,577	P005070
Ashm 1926,578	P005114
Ashm 1926,579	P005281
Ashm 1926,580	P005252
Ashm 1926,580b	P005259
Ashm 1926,581	P005157
Ashm 1926,582+700?+721	P005161
Ashm 1926,583	P005069
Ashm 1926,584	P005227
Ashm 1926,584a	P005302
Ashm 1926,585	P005166
Ashm 1926,586	P005188
Ashm 1926,587	P005074
Ashm 1926,588a	P005180
Ashm 1926,588b	P005261
Ashm 1926,589	P005189
Ashm 1926,590	P005119
Ashm 1926,591	P005228
Ashm 1926,592	P005197
Ashm 1926,593	P005212
Ashm 1926,594	P005245
Ashm 1926,595	P005121
Ashm 1926,596	P005256
Ashm 1926,597	P005080
Ashm 1926,598	P005248
Ashm 1926,599	P005163
Ashm 1926,600	P005242
Ashm 1926,601	P005209
Ashm 1926,602	P005251
Ashm 1926,603	P005116
Ashm 1926,604	P005287
Ashm 1926,605	P005081
Ashm 1926,606	P005283
Ashm 1926,607	P005232
Ashm 1926,608	P005230
Ashm 1926,609	P005240
Ashm 1926,610	P005193
Ashm 1926,611	P005085
Ashm 1926,613	P005255
Ashm 1926,614	P005141
Ashm 1926,615	P005171
Ashm 1926,616+729	P005164
Ashm 1926,617	P005152
Ashm 1926,619	P005087
Ashm 1926,621	P005292
Ashm 1926,622	P005075
Ashm 1926,623+691	P005093
Ashm 1926,624	P005088
Ashm 1926,625	P005299
Ashm 1926,626	P005275
Ashm 1926,627	P005186
Ashm 1926,628	P005090
Ashm 1926,629	P005250
Ashm 1926,630	P005094
Ashm 1926,631	P005257
Ashm 1926,633	P005098
Ashm 1926,635	P005091
Ashm 1926,636	P005182
Ashm 1926,637	P005148
Ashm 1926,638	P005071
Ashm 1926,639	P005183
Ashm 1926,640	P005200
Ashm 1926,641	P005221
Ashm 1926,642	P005153
Ashm 1926,643	P005285
Ashm 1926,644	P005194
Ashm 1926,645	P005181
Ashm 1926,646	P005184
Ashm 1926,647	P005280
Ashm 1926,648	P005236
Ashm 1926,649	P005243
Ashm 1926,650	P005290
Ashm 1926,651	P005282
Ashm 1926,652	P005205
Ashm 1926,653 + Ashm 1926,717	P005072
Ashm 1926,654	P005288
Ashm 1926,655	P005167
Ashm 1926,656	P005117
Ashm 1926,657	P005207
Ashm 1926,658	P005233
Ashm 1926,659	P005120
Ashm 1926,660	P005203
Ashm 1926,661	P005118
Ashm 1926,662	P005145
Ashm 1926,663	P005258
Ashm 1926,664	P005165
Ashm 1926,665	P005199
Ashm 1926,666	P005147
Ashm 1926,667	P005084
Ashm 1926,668	P005177
Ashm 1926,669	P005112
Ashm 1926,670	P005082
Ashm 1926,671	P005218
Ashm 1926,672 + 736	P005111
Ashm 1926,673	P005234
Ashm 1926,673b	P005225
Ashm 1926,674	P005222
Ashm 1926,675	P005239
Ashm 1926,676	P005305
Ashm 1926,677	P005306
Ashm 1926,687	P005198
Ashm 1926,688	P005253
Ashm 1926,689	P005076
Ashm 1926,690	P005286
Ashm 1926,692	P005293
Ashm 1926,693	P005294
Ashm 1926,694	P005238
Ashm 1926,694a	P005229
Ashm 1926,695+737+741	P005214
Ashm 1926,696a+b+701	P005202
Ashm 1926,697	P005158
Ashm 1926,698	P005137
Ashm 1926,699	P005155
Ashm 1926,702	P005254
Ashm 1926,703	P005211
Ashm 1926,704	P005173
Ashm 1926,705	P005154
Ashm 1926,706	P005089
Ashm 1926,707	P005113
Ashm 1926,708	P005132
Ashm 1926,709	P005216
Ashm 1926,710	P005083
Ashm 1926,711	P005190
Ashm 1926,712	P005241
Ashm 1926,713+734	P005210
Ashm 1926,714	P005249
Ashm 1926,715	P005265
Ashm 1926,716+732	P005300
Ashm 1926,718	P005140
Ashm 1926,719	P005169
Ashm 1926,720	P005206
Ashm 1926,722	P005204
Ashm 1926,723	P005196
Ashm 1926,724	P005274
Ashm 1926,725	P005226
Ashm 1926,726	P005201
Ashm 1926,727	P005139
Ashm 1926,728	P005277
Ashm 1926,730	P005134
Ashm 1926,731	P005262
Ashm 1926,733+Frag	P005110
Ashm 1926,735	P005247
Ashm 1926,738	P005231
Ashm 1926,739	P005215
Ashm 1926,740	P005237
Ashm 1926,742	P005260
Ashm 1926,743	P005136
Ashm 1926,745	P005129
Ashm 1926,746	P005295
Ashm 1926,747	P005130
Ashm 1926,748	P005131
Ashm 1926-612	P005138
Ashm 1927,46	P005125
Ashm 1927,47	P005143
Ashm 1927,48	P005301
Ashm 1927,49	P005149
Ashm 1927,50	P005298
Ashm 1927,51	P005267
Ashm 1927,52	P005270
Ashm 1927,53	P005142
Ashm 1927,54	P005220
Ashm 1927,55.1	P005223
Ashm 1927,55.2	P005124
Ashm 1927,56	P005099
Ashm 1927,57	P005115
Ashm 1927,58	P005264
Ashm 1927,59	P005297
Ashm 1927,60	P005269
Ashm 1927,61	P005219
Ashm 1927,62	P005095
Ashm 1927,63	P005127
Ashm 1927,64	P005128
Ashm 1927,65a	P005144
Ashm 1927,65b	P005185
Ashm 1927,65c	P005273
Ashm 1927,65d	P005268
Ashm 1927,65e	P005208
Ashm 1927,65f	P005266
Ashm 1927,65g	P005126
Ashm 1927,65h	P005224
Ashm 1927,65i	P005172
Ashm 1927,65j	P005146
Ashm 1927...?	P005195
Ashm 1928,014	P005272
Ashm 1928,444	P005187
Ashm 1928,445a	P005179
Ashm 1928,474	P005309
Ashm 1928,580	P005263
Ashm 1928,581	P005086
Ashm 1928-445b	P000713
Ashm 1929,836	P005308
Ashm 1937,626	P005307
Ashm X	P005159
Ashm Y	P005296
Ashm Z	P005168
JN 72	P005235
TA 1930 â€”	P005481,P005482
Talon 1	P005573
Uq 2, 298	P005438
Uq 2, 299	P005439
Uq 2, 300 ?	P005440,P005441
W 01872,1	P000730
W 01872,2	P000731
W 02134	P000732
W 02352	P000733
W 02656,a	P006014
W 02656,b	P006015
W 05233,a	P000734
W 05233,b	P000735
W 05233,c	P000736
W 05233,e	P000737
W 05233,f	P000738
W 05233,g	P000739
W 05353	P000740
W 05372	P000741
W 06066,a	P000742
W 06066,b	P000743
W 06108	P000744
W 06110	P000745
W 06111,a	P000746
W 06115	P000747
W 06150	P000748
W 06216,a	P000749
W 06216,b	P000750
W 06245,a	P000751
W 06245,b	P000752
W 06245,e	P000756
W 06252	P000757
W 06284	P000758
W 06288	P000759
W 06372	P000760
W 06375,a	P000761
W 06375,b	P000762
W 06375,c	P000763
W 06375,d	P000764
W 06375,e	P000765
W 06375,f + W 06572,a	P000766
W 06375,g	P000767
W 06426,a	P000768
W 06426,b	P000769
W 06435,a	P000001
W 06435,b	P000002
W 06502,a	P000770
W 06502,b	P000771
W 06502,c	P000772
W 06502,d	P000773
W 06502,f	P000775
W 06502,g	P000776
W 06572,b	P000778
W 06572,c	P000779
W 06572,d	P000780
W 06572,e	P000781
W 06572,f	P000782
W 06573,a	P000783
W 06573,b	P000784
W 06573,c	P000785
W 06584	P000786
W 06601	P000787
W 06604	P000788
W 06611	P000789
W 06612,a	P000790
W 06612,b	P000791
W 06612,c	P000792
W 06616	P000802
W 06705,a	P000804
W 06705,b	P000805
W 06705,c	P000806
W 06705,d	P000807
W 06705,e	P000808
W 06705,f	P000809
W 06705,g	P000810
W 06705,h	P000811
W 06708	P000812
W 06710,a	P000813
W 06710,b	P000814
W 06710,c	P000815
W 06710,d	P000816
W 06710,e	P000817
W 06711	P000818
W 06737	P000819
W 06738,a	P000820
W 06738,b	P000821
W 06738,c	P000822
W 06738,d	P000823
W 06738,e	P000824
W 06738,f	P000825
W 06738,g	P000826
W 06738,h	P000827
W 06741	P000828
W 06746	P000829
W 06748,a	P000830
W 06748,b	P000831
W 06756,c	P000834
W 06759	P000835
W 06760,a	P000836
W 06760,b	P000837
W 06760,c	P000838
W 06760,d	P000839
W 06760,e	P000840
W 06760,f	P000841
W 06786,d	P000844
W 06820	P000846
W 06855	P000849
W 06860	P000850
W 06881,c + W 06881,f	P000853
W 06881,d	P000854
W 06881,e	P000855
W 06881,g	P000857
W 06881,h1	P000858
W 06881,h2	P000859
W 06881,i	P000860
W 06881,j	P000861
W 06881,k	P000862
W 06881,l	P000863
W 06881,m	P000864
W 06881,n	P000865
W 06881,o1	P000866
W 06881,o2 + W 06881,ab	P000867
W 06882,a	P000881
W 06882,b1	P000882
W 06882,b2	P000883
W 06882,c	P000884
W 06882,d	P000885
W 06882,e + W 06882,k	P000886
W 06882,f	P000887
W 06882,g	P000888
W 06882,i	P000890
W 06882,l	P000892
W 06882,x1	P000893
W 06882,x2	P000894
W 06882,x3	P000895
W 06882,x4	P000896
W 06882,x5	P000897
W 06882,x6	P000898
W 06883,aa	P000916
W 06883,ab	P000917
W 06883,b	P000900
W 06883,h	P000903
W 06883,n	P000907
W 06883,o1	P000908
W 06883,o2	P000909
W 06883,r	P000910
W 06883,s	P000911
W 06883,t1	P000912
W 06883,v	P000914
W 06883,y	P000915
W 06884	P000919
W 06940,a	P000920
W 06940,b	P000921
W 06940,c	P000922
W 06966,b	P000924
W 06984,a	P000925
W 06984,b	P000926
W 07000	P000927
W 07024	P000928
W 07067,b	P000931
W 07067,d	P000933
W 07067,e	P000934
W 07067,h	P000936
W 07067,i	P000937
W 07068,a	P000938
W 07068,b	P000939
W 07092,e	P000943
W 07092,g	P000945
W 07092,i	P000947
W 07092,l2	P000950
W 07092,p	P000953
W 07204,b	P000955
W 07227,a	P000958
W 07227,b	P000959
W 07227,c	P000960
W 07227,d	P000961
W 07227,e	P000962
W 07227,f	P000963
W 07227,g	P000964
W 07227,h	P000965
W 07227,i	P000966
W 07227,k	P000967
W 07227,l	P000968
W 07227,m	P000969
W 07272,h	P000977
W 07272,i	P000978
W 07298	P000981
W 07329,a	P000982
W 07329,b + W 07329,c	P000983
W 07343,1	P000985
W 07343,2	P000986
W 07406	P000988
W 07717	P000989
W 07880	P000990
W 07881	P000991
W 07883	P000993
W 08063	P000995
W 08273	P000996
W 08274	P000997
W 08405	P000998
W 08406	P000999
W 08618	P001000
W 08751	P001001
W 09070	P001002
W 09071,a	P001003
W 09071,b	P001004
W 09071,c	P001005
W 09071,d1	P001006
W 09071,d2	P001007
W 09071,e	P001008
W 09071,f	P001009
W 09071,g	P001010
W 09071,h	P001011
W 09071,p	P001018
W 09071,q	P001019
W 09071,r	P001020
W 09123,?	P001055
W 09123,a1	P001021
W 09123,a2	P001022
W 09123,ac	P001050
W 09123,ad	P001051
W 09123,ae	P001052
W 09123,af	P001053
W 09123,ag	P001054
W 09123,b	P001023
W 09123,c	P001024
W 09123,d	P000003
W 09123,e	P001025
W 09123,f + W 09312,p	P001026
W 09123,h	P001028
W 09123,i	P001029
W 09123,k	P001030
W 09123,l	P001031
W 09123,m	P001032
W 09123,n + W 09312,v	P001033
W 09123,o1	P001034
W 09123,o2	P001035
W 09123,p	P001036
W 09123,q	P001037
W 09123,t	P001040
W 09123,u1	P001041
W 09123,u2	P001042
W 09123,v	P001043
W 09123,w	P001044
W 09123,x	P001045
W 09123,y	P001046
W 09123,z	P001047
W 09168,a	P001056
W 09168,b	P001057
W 09168,c	P001058
W 09168,d	P001059
W 09168,e	P001060
W 09168,f	P001061
W 09168,g	P001062
W 09168,h + W 09168,n + ?	P001063
W 09168,i	P001064
W 09168,j	P001065
W 09168,k	P001066
W 09168,l	P001067
W 09168,p	P001071
W 09168,q	P001072
W 09168,r	P001073
W 09168,t	P001075
W 09168,u	P001076
W 09168,v	P001077
W 09169,?1	P001130
W 09169,?2	P001131
W 09169,?3	P001132
W 09169,a	P001078
W 09169,aa	P001102
W 09169,ab	P001103
W 09169,ac1	P001104
W 09169,ac2	P001105
W 09169,ad	P001106
W 09169,ae	P001107
W 09169,ag	P001109
W 09169,ah	P001110
W 09169,ai	P001111
W 09169,ak	P001112
W 09169,al	P001113
W 09169,am	P001114
W 09169,ao	P001116
W 09169,ap	P001117
W 09169,as	P001120
W 09169,at	P001121
W 09169,au	P001122
W 09169,av	P001123
W 09169,ax	P001125
W 09169,ay	P001126
W 09169,az	P001127
W 09169,b	P001079
W 09169,c	P001080
W 09169,cf?	P001128
W 09169,d	P000004
W 09169,e	P001081
W 09169,f	P001082
W 09169,g	P001083
W 09169,h	P001084
W 09169,ha?	P001129
W 09169,i	P001085
W 09169,l	P001087
W 09169,m + W 09335,k	P001088
W 09169,n	P001089
W 09169,o	P001090
W 09169,p + W 09169,s	P001091
W 09169,q	P001092
W 09169,r	P001093
W 09169,t	P001095
W 09169,u	P001096
W 09169,v	P001097
W 09169,w	P001098
W 09169,y	P001100
W 09206,?1	P001152
W 09206,?2	P001153
W 09206,a1	P001133
W 09206,a2	P001134
W 09206,b	P001135
W 09206,c	P001136
W 09206,d	P001137
W 09206,e	P001138
W 09206,f	P001139
W 09206,g	P001140
W 09206,h	P001141
W 09206,k	P000005
W 09206,l	P001143
W 09206,m	P001144
W 09206,p	P001147
W 09206,q	P001148
W 09206,r	P001149
W 09206,s	P001150
W 09206,t	P001151
W 09212	P001154
W 09271	P001155
W 09311,a	P001156
W 09311,b	P001157
W 09311,c	P001158
W 09311,d	P001159
W 09311,e	P001160
W 09311,f +	P001161
W 09311,h	P001162
W 09311,i	P001163
W 09311,k	P001164
W 09311,l	P001165
W 09311,m	P001166
W 09311,n	P001167
W 09311,o	P001168
W 09311,p	P001169
W 09311,q	P001170
W 09311,r	P001171
W 09311,t	P001172
W 09311,u	P001173
W 09311,w	P001174
W 09311,x	P001175
W 09312,a	P001176
W 09312,aa	P001202
W 09312,b	P001177
W 09312,c	P001178
W 09312,d	P001179
W 09312,e	P001180
W 09312,f	P001181
W 09312,g	P001182
W 09312,h	P001183
W 09312,i	P001184
W 09312,k	P001185
W 09312,l	P001186
W 09312,m	P001187
W 09312,n1	P001188
W 09312,n2 + W 09312,r	P001189
W 09312,o	P001190
W 09312,s	P001194
W 09312,t	P001195
W 09312,x	P001199
W 09312,y	P001200
W 09312,z	P001201
W 09335,a	P001203
W 09335,b	P001204
W 09335,c	P001205
W 09335,d	P001206
W 09335,e	P001207
W 09335,f	P001208
W 09335,g	P001209
W 09335,h1	P001210
W 09335,h2	P001211
W 09335,i	P001212
W 09335,l	P001214
W 09335,m	P001215
W 09335,o	P001217
W 09335,p	P001218
W 09335,q	P001219
W 09335,r	P001220
W 09335,s	P001221
W 09335,t	P001222
W 09335,u	P001223
W 09335,v	P001224
W 09393,a	P001226
W 09393,b	P001227
W 09393,c	P001228
W 09393,d	P001229
W 09393,e	P001230
W 09393,f	P001231
W 09492	P001232
W 09578,a	P001233
W 09578,b	P001234
W 09578,c	P001235
W 09578,d	P001236
W 09578,e	P001237
W 09578,f	P001238
W 09578,g	P001239
W 09578,h	P001240
W 09578,i	P001241
W 09578,k	P001242
W 09578,l	P001243
W 09578,m	P001244
W 09578,n	P001245
W 09578,o	P001246
W 09578,p	P001247
W 09578,q	P001248
W 09579,a	P001249
W 09579,aa	P001274
W 09579,ab	P001275
W 09579,ac	P001276
W 09579,ad	P001277
W 09579,ae	P001278
W 09579,af	P001279
W 09579,ag	P001280
W 09579,ah	P001281
W 09579,ai	P001282
W 09579,ak	P001283
W 09579,al	P001284
W 09579,am	P001285
W 09579,an	P001286
W 09579,ao	P001287
W 09579,ap	P001288
W 09579,aq	P001289
W 09579,ar	P001290
W 09579,as	P001291
W 09579,at	P001292
W 09579,au	P001293
W 09579,av	P001294
W 09579,aw	P001295
W 09579,ax	P001296
W 09579,ay	P001297
W 09579,az	P001298
W 09579,b	P001250
W 09579,ba	P001299
W 09579,bb	P001300
W 09579,bc	P001301
W 09579,bd	P001302
W 09579,be	P001303
W 09579,bf	P001304
W 09579,bg	P001305
W 09579,bh	P001306
W 09579,bi	P001307
W 09579,bk	P001308
W 09579,bl	P001309
W 09579,bm	P001310
W 09579,bq	P001313
W 09579,br	P001314
W 09579,bs	P001315
W 09579,bt	P001316
W 09579,bu	P001317
W 09579,bv	P001318
W 09579,bw	P001319
W 09579,bx	P001320
W 09579,by1	P001321
W 09579,by2	P001322
W 09579,bz	P001323
W 09579,c	P001251
W 09579,ca	P001324
W 09579,cb	P001325
W 09579,cc	P001326
W 09579,cd	P001327
W 09579,ce	P001328
W 09579,cf	P001329
W 09579,cg	P001330
W 09579,ch	P001331
W 09579,ci	P001332
W 09579,ck	P001333
W 09579,cl	P001334
W 09579,cm	P001335
W 09579,cn	P001336
W 09579,co	P001337
W 09579,cp	P001338
W 09579,cq	P001339
W 09579,cr	P001340
W 09579,cs	P001341
W 09579,ct	P001342
W 09579,cu	P001343
W 09579,cv	P001344
W 09579,cw	P001345
W 09579,cx	P001346
W 09579,cy	P001347
W 09579,cz	P001348
W 09579,d	P001252
W 09579,da	P001349
W 09579,db	P001350
W 09579,dc	P001351
W 09579,dd	P001352
W 09579,de	P001353
W 09579,df	P001354
W 09579,dg	P001355
W 09579,dh	P001356
W 09579,di	P001357
W 09579,dk	P001358
W 09579,dl	P001359
W 09579,dm	P001360
W 09579,dn	P001361
W 09579,do	P001362
W 09579,dp	P001363
W 09579,dq	P001364
W 09579,dr	P001365
W 09579,ds	P001366
W 09579,dt	P001367
W 09579,du	P001368
W 09579,dv	P001369
W 09579,dw	P001370
W 09579,dx	P001371
W 09579,dy	P001372
W 09579,dz	P001373
W 09579,e	P001253
W 09579,f	P001254
W 09579,g	P001255
W 09579,h	P001256
W 09579,i	P001257
W 09579,k	P001258
W 09579,l	P001259
W 09579,m	P001260
W 09579,n	P001261
W 09579,o	P001262
W 09579,p	P001263
W 09579,q	P001264
W 09579,r	P001265
W 09579,s	P001266
W 09579,t	P001267
W 09579,u	P001268
W 09579,v	P001269
W 09579,w	P001270
W 09579,x	P001271
W 09579,y	P001272
W 09579,z	P001273
W 09655,a	P001374
W 09655,aa	P001399
W 09655,ab	P001400
W 09655,ac	P001401
W 09655,ad	P001402
W 09655,ae	P001403
W 09655,ag	P001405
W 09655,ah	P001406
W 09655,ai	P001407
W 09655,ak	P001408
W 09655,al	P001409
W 09655,am	P001410
W 09655,an	P001411
W 09655,ao	P001412
W 09655,ap	P001413
W 09655,aq	P001414
W 09655,ar	P001415
W 09655,as	P001416
W 09655,b	P001375
W 09655,c	P001376
W 09655,cq	P001417
W 09655,d + W 09655,dh	P001377
W 09655,e	P001378
W 09655,f	P001379
W 09655,g	P001380
W 09655,h	P001381
W 09655,i	P001382
W 09655,k	P001383
W 09655,l	P001384
W 09655,m	P001385
W 09655,o	P001387
W 09655,p	P001388
W 09655,q	P001389
W 09655,r	P001390
W 09655,s	P001391
W 09655,t	P001392
W 09655,u	P001393
W 09655,v	P001394
W 09655,w	P001395
W 09655,x	P001396
W 09655,y	P001397
W 09655,z	P001398
W 09656,?	P001680
W 09656,a1	P001418
W 09656,a2	P001419
W 09656,aa	P001443
W 09656,ab	P001444
W 09656,ac	P001445
W 09656,ad	P001446
W 09656,ae	P001447
W 09656,af	P001448
W 09656,ag	P001449
W 09656,ah	P001450
W 09656,ai	P001451
W 09656,ak	P001452
W 09656,al	P001453
W 09656,am	P001454
W 09656,ao	P001456
W 09656,aq	P001458
W 09656,ar	P001459
W 09656,as	P001460
W 09656,at	P001461
W 09656,au	P001462
W 09656,av	P001463
W 09656,aw	P001464
W 09656,ax	P001465
W 09656,ay	P001466
W 09656,az	P001467
W 09656,b	P001420
W 09656,ba	P001468
W 09656,bb	P001469
W 09656,bd	P001471
W 09656,be	P001472
W 09656,bf	P001473
W 09656,bg	P001474
W 09656,bh	P001475
W 09656,bi	P001476
W 09656,bk	P001477
W 09656,bl + W 09656,dx	P001478
W 09656,bm	P001479
W 09656,bn	P001480
W 09656,bo	P001481
W 09656,bp	P001482
W 09656,bq	P001483
W 09656,br	P001484
W 09656,bs	P001485
W 09656,bt	P001486
W 09656,bu	P001487
W 09656,bv	P001488
W 09656,bw	P001489
W 09656,bx	P001490
W 09656,by	P001491
W 09656,bz + W 09656,fl	P001492
W 09656,c	P001421
W 09656,ca	P001493
W 09656,cb	P001494
W 09656,cc	P001495
W 09656,cd	P001496
W 09656,ce	P001497
W 09656,cf	P001498
W 09656,cg	P001499
W 09656,ch	P001500
W 09656,ci	P001501
W 09656,ck	P001502
W 09656,cl	P001503
W 09656,cm	P001504
W 09656,cn	P001505
W 09656,co	P001506
W 09656,cp1	P001507
W 09656,cp2	P001508
W 09656,cq	P001509
W 09656,cr	P001510
W 09656,cs	P001511
W 09656,ct	P001512
W 09656,cu	P001513
W 09656,cv	P001514
W 09656,cw	P001515
W 09656,cx	P001516
W 09656,cy	P001517
W 09656,cz	P001518
W 09656,d	P001422
W 09656,da	P001519
W 09656,db	P001520
W 09656,dc	P001521
W 09656,dd	P001522
W 09656,de	P001523
W 09656,df	P001524
W 09656,dg1	P001525
W 09656,dg2	P001526
W 09656,di	P001528
W 09656,dk	P001529
W 09656,dl	P001530
W 09656,dm	P001531
W 09656,dn	P001532
W 09656,do	P001533
W 09656,dp	P001534
W 09656,dq	P001535
W 09656,dr	P001536
W 09656,ds	P001537
W 09656,dt	P001538
W 09656,du	P001539
W 09656,dw	P001541
W 09656,dy	P001543
W 09656,dz	P001544
W 09656,ef	P001550
W 09656,eg	P001551
W 09656,eh	P001552
W 09656,ei	P001553
W 09656,ek	P001554
W 09656,el	P001555
W 09656,em	P001556
W 09656,en1	P001557
W 09656,en2	P001558
W 09656,eo	P001559
W 09656,ep	P001560
W 09656,eq	P001561
W 09656,er	P001562
W 09656,es	P001563
W 09656,et	P001564
W 09656,eu	P001565
W 09656,ev	P001566
W 09656,ew	P001567
