excavationNumbers	tablets
W 21061,2	P004226
W 21061,3	P004227
W 21061,4	P004228
W 21061,5	P004229
W 21063	P004230
W 21068	P004231
W 21069,1	P004232
W 21069,2	P004233
W 21074,1	P004234
W 21074,2	P004235
W 21074,3	P004236
W 21074,4	P004237
W 21074,5	P004238
W 21074,6	P004239
W 21075,2	P004241
W 21075,3	P000496
W 21075,4	P004242
W 21075,5	P004243
W 21080,1	P004244
W 21080,2	P004245
W 21080,3	P004246
W 21080,4	P004247
W 21081,1	P004248
W 21081,2	P004249
W 21082,1	P004250
W 21082,2	P004251
W 21085	P004252
W 21086	P004253
W 21087	P004254
W 21090	P004255
W 21092	P004256
W 21094	P000497
W 21095	P000498
W 21104,1	P004257
W 21104,2	P000499
W 21104,3	P004258
W 21104,4	P004259
W 21104,5	P004260
W 21107	P004261
W 21108,1a	P000500
W 21108,1b	P004262
W 21108,2	P000501
W 21108,3	P000502
W 21111	P004263
W 21112	P004264
W 21113,1	P004265
W 21113,2	P004266
W 21115,1	P004267
W 21115,2	P004268
W 21115,3	P004269
W 21115,4	P004270
W 21116,1	P004271
W 21116,2	P004272
W 21116,3	P004273
W 21116,4	P000503
W 21116,5	P004274
W 21116,6	P004275
W 21116,7	P004276
W 21118,1 + W 21118,4	P000504
W 21118,2	P004277
W 21118,3	P004278
W 21119,1	P004279
W 21119,2	P004280
W 21119,3	P004281
W 21119,4	P000506
W 21119,5	P004282
W 21119,6	P004283
W 21119,7	P004284
W 21119,8	P004285
W 21121,1	P004286
W 21121,2	P000507
W 21126	P000508
W 21128	P004287
W 21135	P004288
W 21145,1	P000509
W 21145,2	P004289
W 21151	P004290
W 21152,1	P004291
W 21152,2	P000510
W 21152,3	P004292
W 21152,4	P004293
W 21152,5	P004294
W 21152,6	P004295
W 21152,7	P004296
W 21152,8	P004297
W 21154,3	P004298
W 21157	P004299
W 21158,1	P004300
W 21158,2	P000511
W 21158,3	P000512
W 21158,4	P004301
W 21159	P000513
W 21162	P004302
W 21163,1	P004303
W 21163,2	P004304
W 21170	P004305
W 21172	P004306
W 21174	P004307
W 21183	P004308
W 21184,1	P004309
W 21184,2 + W 21292	P004310
W 21184,3	P000514
W 21184,4	P000515
W 21184,5	P004311
W 21185	P000516
W 21193	P004312
W 21194	P004313
W 21195,1	P004314
W 21196	P004315
W 21200	P004316
W 21208,01	P000517
W 21208,02	P000518
W 21208,03 + W 21208,14 + W 21208,43	P000519
W 21208,04	P000520
W 21208,05	P000521
W 21208,06 + W 21208,19	P000522
W 21208,07	P000523
W 21208,08 + W 21208,16	P000524
W 21208,09	P000525
W 21208,10	P000526
W 21208,11	P000527
W 21208,12 + W 21208,15 + W 21208,25	P000528
W 21208,13	P000529
W 21208,17 + W 21208,20 + W 21208,21	P000533
W 21208,18	P000534
W 21208,22	P000538
W 21208,23	P000539
W 21208,24	P000540
W 21208,26	P000542
W 21208,27	P000543
W 21208,28	P000544
W 21208,29	P000545
W 21208,30	P000546
W 21208,31	P000547
W 21208,32	P000548
W 21208,33	P000549
W 21208,34	P000550
W 21208,35	P000551
W 21208,36	P000552
W 21208,37	P000553
W 21208,38	P000554
W 21208,39	P000555
W 21208,40	P000556
W 21208,41	P000557
W 21208,42	P000558
W 21208,44	P000560
W 21208,45	P000561
W 21208,46	P000562
W 21208,47	P000563
W 21208,48	P000564
W 21208,49	P000565
W 21208,50	P000566
W 21208,51	P000567
W 21208,52	P000568
W 21208,53	P000569
W 21208,54	P000570
W 21208,55	P000571
W 21209,1 + W 21209,6	P000572
W 21209,2 + W 21209,3 + W 21209,4 +W 21209, 7	P004317
W 21209,5	P000573
W 21212	P004321
W 21224	P004322
W 21225,1	P000575
W 21225,2	P000576
W 21229	P000577
W 21231,1	P004323
W 21231,2	P004324
W 21231,3	P004325
W 21232	P004326
W 21234	P004327
W 21236	P004328
W 21240,1	P004329
W 21240,2	P000578
W 21241,1	P004330
W 21241,2	P004331
W 21252,1	P000579
W 21252,2	P004332
W 21253,01	P004333
W 21253,02	P004334
W 21253,03	P004335
W 21253,04	P004336
W 21253,05	P004337
W 21253,06	P004338
W 21253,07	P004339
W 21253,08	P000580
W 21253,09	P004340
W 21253,10	P004341
W 21253,11	P004342
W 21253,12	P004343
W 21255	P000581
W 21258,1	P004344
W 21258,2	P004345
W 21258,3	P004346
W 21263,1	P004347
W 21263,2	P004348
W 21263,3	P004349
W 21263,4	P004350
W 21263,5	P004351
W 21278	P004352
W 21279	P004353
W 21280	P000582
W 21283	P004354
W 21290	P004355
W 21300,1	P004357
W 21300,2	P004358
W 21300,3	P004359
W 21300,4	P004360
W 21300,5	P004361
W 21300,6	P004362
W 21300,7	P004363
W 21303,1	P004364
W 21303,2	P004365
W 21307,a	P004366
W 21311,1	P004367
W 21311,2	P004368
W 21311,3	P000583
W 21311,4	P000584
W 21328	P004369
W 21329,2	P004370
W 21330	P004371
W 21331,1	P004372
W 21335	P004373
W 21342	P004374
W 21355,1	P000585
W 21355,2	P004375
W 21355,3	P004376
W 21375,1	P000586
W 21375,2	P004377
W 21385	P004378
W 21387	P004379
W 21392	P000587
W 21393	P004380
W 21394	P004381
W 21395	P000588
W 21397,1	P004382
W 21397,2	P004383
W 21403	P004384
W 21418,01	P000589
W 21418,02	P004385
W 21418,03	P004386
W 21418,04	P004387
W 21418,05	P000590
W 21418,06	P004388
W 21418,07 + W 21418,12	P000591
W 21418,08	P004389
W 21418,09	P004390
W 21418,10	P004391
W 21418,11	P004392
W 21418,13	P004393
W 21418,14	P004394
W 21418,15	P004395
W 21418,16	P004396
W 21418,17	P004397
W 21418,18	P004398
W 21418,19	P004399
W 21446	P004400
W 21450	P004401
W 21451	P000593
W 21456	P004403
W 21463	P004404
W 21464,a	P004405
W 21464,b	P004406
W 21473	P000594
W 21498	P004407
W 21500 + W 21555?	P004408
W 21534	P004409
W 21535 + W 21536	P000595
W 21537	P004410
W 21552	P000597
W 21554	P004411
W 21559	P004413
W 21562	P004414
W 21570	P004415
W 21590	P004416
W 21598	P004417
W 21601	P004418
W 21607	P004419
W 21608	P004420
W 21612	P004421
W 21644	P004422
W 21654,1	P004423
W 21654,2	P004424
W 21654,3	P004425
W 21654,4	P004426
W 21654,5	P004427
W 21654,6	P004428
W 21654,7	P004429
W 21662,1	P004430
W 21662,2	P004431
W 21662,3	P004432
W 21663	P004433
W 21671	P004434
W 21678 + W 21680	P004435
W 21681	P000598
W 21682	P004437
W 21691	P004438
W 21695	P004439
W 21696	P004440
W 21697	P000599
W 21700	P004441
W 21723	P000600
W 21733,1	P004442
W 21733,2	P004443
W 21733,3	P004444
W 21733,4	P004445
W 21733,5	P004446
W 21733,6	P004447
W 21733,7	P004448
W 21733,8	P004449
W 21734,1	P004450
W 21734,2	P004451
W 21735,1 + W 21738?	P004452
W 21735,2	P004453
W 21735,3	P000601
W 21735,4	P000602
W 21736	P004454
W 21741	P000603
W 21742	P004456
W 21744	P004457
W 21745	P000604
W 21755	P004458
W 21759	P000605
W 21760	P004459
W 21761,a + W 21761,b	P000606
W 21771	P004460
W 21814	P004461
W 21839,1	P004462
W 21839,2	P004463
W 21839,3	P004464
W 21840	P004465
W 21842	P004466
W 21848	P004467
W 21859	P004468
W 21864	P004469
W 21869	P004470
W 21876	P004471
W 21878	P004472
W 21880	P004473
W 21883	P004474
W 21897	P004475
W 21902	P004476
W 21912	P004477
W 21913	P004478
W 21914	P004479
W 21916,1	P000608
W 21916,2	P000609
W 21924,1	P000610
W 21924,2	P000611
W 21934	P004480
W 22090,1a	P004481
W 22090,1b	P004482
W 22090,1c	P004483
W 22090,1d	P004484
W 22090,1e	P004485
W 22090,2 + W 22090,3 + W 22090,5 + W 22090,9	P000614
W 22090,4	P004486
W 22090,6	P004487
W 22090,7	P004488
W 22090,8	P000615
W 22091,0	P004489
W 22091,1 + W 22118,2	P004490
W 22091,2	P004491
W 22091,3	P000617
W 22091,4	P004492
W 22091,5	P004493
W 22091,6	P004494
W 22091,7	P004495
W 22098	P004496
W 22099	P004497
W 22100,0	P004498
W 22100,01	P004499
W 22100,02	P004500
W 22100,03	P004501
W 22100,04	P004502
W 22100,05	P004503
W 22100,06	P004504
W 22100,07	P004505
W 22100,08	P004506
W 22100,09	P004507
W 22100,10	P004508
W 22101,0	P004509
W 22101,1	P004510
W 22101,2	P004511
W 22101,3	P004512
W 22101,4	P004513
W 22101,5	P004514
W 22101,6	P004515
W 22101,7 + W 22101,9a	P000618
W 22101,8	P004516
W 22101,9b	P000620
W 22101,9c	P004517
W 22101,9d	P004518
W 22101,9e	P004519
W 22101,9f	P004520
W 22101,9g	P004521
W 22102,0	P004522
W 22102,1	P004523
W 22102,2	P004524
W 22102,3	P004525
W 22102,4	P004526
W 22102,5 + W 22103,4 + W 22104,1	P004527
W 22102,6	P004528
W 22102,7	P004529
W 22102,8	P004530
W 22102,9	P004531
W 22102,9a	P004532
W 22102,9d	P004535
W 22102,9f	P004537
W 22102,9h	P004539
W 22102,9j	P004541
W 22103,0	P004542
W 22103,1	P004543
W 22103,2	P004544
W 22103,3	P004545
W 22103,5	P004547
W 22103,6	P004548
W 22103,7	P004549
W 22103,8	P004550
W 22103,9	P004551
W 22104,0	P000621
W 22104,2	P004553
W 22104,3	P004554
W 22104,4a	P004555
W 22104,4b	P004556
W 22104,4c	P004557
W 22104,4d	P004558
W 22104,4e	P004559
W 22104,4f	P004560
W 22104,4g	P004561
W 22104,4h	P004562
W 22104,4i	P004563
W 22104,4j	P004564
W 22104,4k	P004565
W 22104,4l	P004566
W 22104,4m	P004567
W 22112	P004568
W 22113	P004569
W 22114	P004570
W 22115,0	P000622
W 22115,1	P004571
W 22115,2	P004572
W 22115,3	P004573
W 22115,4	P004574
W 22115,5	P004575
W 22115,6	P004576
W 22115,7	P004577
W 22115,8	P004578
W 22115,9	P004579
W 22116,0	P004580
W 22116,1	P004581
W 22116,2	P000623
W 22116,3	P004582
W 22116,4	P004583
W 22116,5	P004584
W 22116,6	P004585
W 22116,7	P004586
W 22116,8	P004587
W 22116,9	P004588
W 22117,0	P000624
W 22117,1 + W 22117,2	P004589
W 22117,3	P004591
W 22117,4	P004592
W 22117,5b	P004594
W 22117,5c	P004595
W 22117,5f	P004598
W 22118,0	P004599
W 22118,1	P004600
W 22118,3 + W 22123,i+o	P004602
W 22118,4	P004603
W 22118,5	P004604
W 22118,6	P000625
W 22118,7	P000626
W 22118,8	P004605
W 22118,9	P004606
W 22119,0	P004607
W 22119,1	P004608
W 22119,2	P004609
W 22119,3	P004610
W 22119,4	P000627
W 22119,5	P000628
W 22119,6	P004611
W 22119,7	P004612
W 22119,8	P004613
W 22119,9	P004614
W 22120,0	P004615
W 22120,1	P004616
W 22120,2	P004617
W 22120,3	P004618
W 22120,4	P004619
W 22120,5	P004620
W 22120,6	P004621
W 22120,7	P004622
W 22120,8	P004623
W 22120,9	P004624
W 22121,0	P004625
W 22121,1	P004626
W 22121,2	P004627
W 22121,3	P004628
W 22121,4	P004629
W 22121,5	P004630
W 22121,6	P004631
W 22121,7	P004632
W 22121,8	P004633
W 22121,9	P004634
W 22122,0 + W 22122,1	P004635
W 22122,2	P004637
W 22122,3a	P004638
W 22122,3b	P004639
W 22122,4	P004640
W 22122,5	P004641
W 22123,a	P004642
W 22123,b	P004643
W 22123,c	P004644
W 22123,d	P004645
W 22123,e	P004646
W 22123,f	P004647
W 22123,g	P004648
W 22123,h	P004649
W 22123,j	P004651
W 22123,k	P004652
W 22123,l	P004653
W 22123,m	P004654
W 22123,n	P004655
W 22123,p	P004657
W 22123,q	P004658
W 22133	P004659
W 22134	P004660
W 22135,0	P004661
W 22135,1	P004662
W 22135,2 + W 22135,3	P004663
W 22135,4	P000629
W 22135,5	P000630
W 22135,6	P004665
W 22136	P000631
W 22137	P004666
W 22170	P004667
W 22200	P004668
W 22421	P004670
W 22720,3a	P004671
W 23610	P000632
W 23850	P004672
W 23851	P004673
W 23895	P004674
W 23948	P004675
W 23950	P004676
W 23951	P004677
W 23952	P004678
W 23968	P004679
W 23969,1	P004680
W 23969,2	P004681
W 23972,1	P004682
W 23972,2	P004683
W 23973,01	P004684
W 23973,02	P000633
W 23973,03	P004685
W 23973,04	P004686
W 23973,05	P004687
W 23973,06	P004688
W 23973,06a	P000634
W 23973,06b	P000635
W 23973,07a	P004689
W 23973,07b	P004690
W 23973,07c	P000636
W 23973,08	P004691
W 23973,09a	P004692
W 23973,09b	P004693
W 23973,10a	P004694
W 23973,10b	P004695
W 23982,1	P004696
W 23982,2a	P004697
W 23982,2b	P004698
W 23982,3	P004699
W 23982,4a	P004700
W 23982,4b	P004701
W 23982,5	P004702
W 23983,a	P004703
W 23983,b	P004704
W 23983,c	P004705
W 23983,d	P004706
W 23983,e	P000637
W 23983,f	P004707
W 23984	P000638
W 23986,a	P000639
W 23986,b	P004708
W 23987	P004709
W 23988	P004710
W 23989	P000640
W 23990,a	P004711
W 23990,b	P004712
W 23990,c	P004713
W 23990,d	P004714
W 23990,e	P004715
W 23991,a	P004716
W 23991,b	P004717
W 23992	P004718
W 23993	P004719
W 23994	P004720
W 23995	P004721
W 23997,1	P004722
W 23997,2	P000641
W 23997,3	P004723
W 23997,4a	P000642
W 23997,4b	P004724
W 23997,4c	P004725
W 23997,4d	P004726
W 23997,4e	P004727
W 23998,1	P000643
W 23998,1a	P004728
W 23998,2a	P004729
W 23998,2b	P004730
W 23998,2c	P004731
W 23998,2d	P004732
W 23998,2e	P004733
W 23998,2f	P004734
W 23999,1	P004735
W 23999,2	P004736
W 23999,3	P004737
W 23999,4a	P004738
W 23999,4b	P004739
W 23999,4c	P000644
W 23999,4d	P004740
W 23999,4e	P004741
W 23999,4f	P004742
W 23999,5a	P004743
W 24004,01	P000645
W 24004,02	P004744
W 24004,02a	P000646
W 24004,02b	P004745
W 24004,02c	P004746
W 24004,03a	P000647
W 24004,03b	P004747
W 24004,04a	P004748
W 24004,04b	P000648
W 24004,04c + W 24004,04d	P004749
W 24004,04e	P004750
W 24004,04f	P004751
W 24004,05	P004752
W 24004,06	P004753
W 24004,07	P004754
W 24004,08a	P004755
W 24004,08b	P004756
W 24004,09	P000649
W 24004,10	P004757
W 24004,11	P004758
W 24004,12	P004759
W 24004,13	P004760
W 24004,14a	P000650
W 24004,14b	P004761
W 24004,14c	P000651
W 24004,14d	P004762
W 24006,02	P004763
W 24006,03	P004764
W 24006,05	P004765
W 24006,06	P000652
W 24006,06a	P004766
W 24006,06b	P004767
W 24006,06c	P000653
W 24006,07	P004768
W 24006,08	P004769
W 24006,09	P004770
W 24006,10	P004771
W 24006,11	P004772
W 24006,12	P000654
W 24007,1	P004773
W 24007,2	P000655
W 24007,3	P004774
W 24007,4	P004775
W 24007,5	P004776
W 24007,6	P004777
W 24007,7	P000656
W 24008,08	P004778
W 24008,10	P000658
W 24008,11	P000659
W 24008,12	P004779
W 24008,13	P000660
W 24008,14	P004780
W 24008,15	P004781
W 24008,16	P000661
W 24008,17	P004782
W 24008,18	P000662
W 24008,19	P004783
W 24008,20	P004784
W 24008,21	P004785
W 24008,22	P004786
W 24008,23	P000663
W 24008,24	P004787
W 24008,25	P004788
W 24008,26	P004789
W 24008,27a	P004790
W 24008,27b	P004791
W 24008,27c	P004792
W 24008,27d	P004793
W 24008,27e	P004794
W 24008,27f	P004795
W 24008,9	P000657
W 24010,5	P004796
W 24010,6	P004797
W 24011,1	P004798
W 24011,2	P004799
W 24011,3	P004800
W 24011,4	P004801
W 24011,5	P000664
W 24011,6	P004802
W 24011,7	P004803
W 24011,8	P004804
W 24011,9	P004805
W 24012,01	P004806
W 24012,02	P000665
W 24012,03	P000666
W 24012,04	P004807
W 24012,05	P004808
W 24012,06	P004809
W 24012,07	P000667
W 24012,09	P004811
W 24012,10	P004812
W 24012,12	P000668
W 24013,01	P004814
W 24013,02	P004815
W 24013,03	P004816
W 24013,04	P004817
W 24013,05	P000669
W 24013,06	P004818
W 24013,07	P000670
W 24013,08	P004819
W 24013,09	P004820
W 24013,10	P004821
W 24013,11a	P000671
W 24013,11b	P004822
W 24013,11c	P004823
W 24013,11d	P004824
W 24013,11e	P004825
W 24013,11f	P004826
W 24013,12	P004827
W 24013,13	P004828
W 24013,14	P000672
W 24013,15	P004829
W 24013,16	P004830
W 24013,17	P000673
W 24013,18	P000674
W 24013,19	P004831
W 24013,20	P004832
W 24013,21	P004833
W 24013,22	P004834
W 24013,23	P004835
W 24013,24	P004836
W 24013,25	P004837
W 24014	P004838
W 24015,1	P000675
W 24015,2	P000676
W 24015,3	P004839
W 24015,4	P004840
W 24015,5	P004841
W 24016,1	P000677
W 24016,2	P000678
W 24016,3	P000679
W 24016,4	P000680
W 24016,5	P000681
W 24016,6	P000682
W 24017	P004842
W 24018,1	P004843
W 24018,2	P004844
W 24018,3	P004845
W 24018,4	P004846
W 24018,5	P000683
W 24018,6	P000684
W 24018,7	P004847
W 24018,8	P004848
W 24021,01	P004849
W 24021,02	P004850
W 24021,03	P004851
W 24021,04	P004852
W 24021,05	P004853
W 24021,06	P004854
W 24021,07	P004855
W 24021,08	P004856
W 24021,09	P004857
W 24021,10	P004858
W 24021,11	P004859
W 24021,12	P000685
W 24021,13	P004860
W 24021,14	P004861
W 24021,15	P004862
W 24021,16	P004863
W 24021,17	P000686
W 24021,18a	P004864
W 24021,18b	P004865
W 24021,18c	P004866
W 24021,18d	P004867
W 24021,18e	P004868
W 24021,18f	P004869
W 24022	P004870
W 24024,1	P004871
W 24024,2	P004872
W 24025	P004873
W 24026	P004874
W 24027	P004875
W 24028,1	P004876
W 24028,2	P000687
W 24029,1	P004877
W 24030	P004878
W 24031	P004879
W 24033,01	P004880
W 24033,02	P004881
W 24033,03	P004882
W 24033,04	P004883
W 24033,05	P004884
W 24033,06	P004885
W 24033,07	P004886
W 24033,08	P000688
W 24033,09	P004887
W 24033,10	P004888
W 24034	P004889
W 24046,1	P004890
W 24046,2	P004891
W 24046,3	P004892
W 24046,4	P004893
W 24046,5	P004894
W 24046,6	P004895
W 24046,7	P004896
W 24046,8	P004897
W 24047	P004898
W 24049	P004899
W 24050	P004900
W 24051	P004901
W 24060	P004902
W 24061	P004903
W 24062	P004904
W 24153	P004905
W 24156	P004906
W 24157	P000689
W 24158	P000690
W 24159	P004907
W 24160	P004908
W 24162	P004909
W 24181,a	P004910
W 24181,b	P004911
W 24181,c	P004912
W 24181,d	P004913
W 24181,e	P004914
W 24181,f	P004915
W 24182	P004916
W 24183	P004917
W 24184	P004918
W 24185	P004919
W 24186	P004920
W 24187	P004921
W 24188	P004922
W 24189	P004923
W 24190	P004924
W 24191	P004925
W 24192,a	P004926
W 24192,b	P004927
W 24193,a	P004928
W 24193,b	P004929
W 24193,c	P004930
W 24194	P000691
W 24195	P004931
W 24196	P004932
W 24198	P004933
W 24199	P004934
W 24200	P004935
W 24200,a	P004936
W 24201,a	P004937
W 24201,b	P000692
W 24202	P004938
W 24203,b	P004939
W 24203,c	P004940
W 24203,d	P004941
W 24204,1	P004942
W 24204,2	P004943
W 24205	P000693
W 24206	P000694
W 24207	P004944
W 24208	P004945
W 24209	P000695
W 24210	P004946
W 24211	P004947
W 24212,1	P004948
W 24212,2	P004949
W 24212,4	P004950
W 24212,5	P004951
W 24212,6	P004952
W 24212,7	P004953
W 24212,8	P004954
W 24213	P004955
W 24214,1	P004956
W 24214,2	P000696
W 24214,3	P004957
W 24215	P004958
W 24216	P004959
W 24217,a	P004960
W 24217,b	P000697
W 24217,c	P004961
W 24218	P004962
W 24219,1	P000698
W 24219,2	P000699
W 24220	P004963
W 24221	P004964
W 24222	P000700
W 24224	P004965
W 24234	P000701
W 24235	P004966
W 24236	P004967
W 24237	P004968
W 24238	P004969
W 24239	P004970
W 24240	P004971
W 24241	P004972
W 24242,1	P004973
W 24242,2	P004974
W 24243,1	P000702
W 24243,2	P004975
W 24244,1	P004976
W 24244,2	P004977
W 24244,3	P004978
W 24244,4	P004979
W 24244,5	P004980
W 24245	P004981
W 24246	P004982
W 24246,bis	P004983
W 99999,zz	P005031,P005032,P005033
W â€” ?	P001689,P005034,P005035,P005037,P005038,P005039,P005040,P005041,P005043,P005044,P005045,P005047,P005048,P005049,P005050,P005051,P005052,P005053,P005056,P005057,P005058,P005059,P005060,P005061,P005062,P005063,P005064,P005065,P005066,P000704,P000703,P004998,P004999,P005001,P005002,P001691,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017,P005018,P005019,P005020,P005021,P005022,P005023,P005026,P005027,P005028,P005029
W â€” HD 01	P004984
W â€” HD 02	P004985
W â€” HD 03	P004986
W â€” HD 04	P004987
W â€” HD 05	P000705
W â€” HD 06	P000706
W â€” HD 07	P000707
W â€” HD 08	P000708
W â€” HD 09	P000709
W â€” HD 10	P000710
W â€” HD 11	P000711
W â€” HD 12	P000712
W â€” HD 13	P004988
W â€” HD 14	P004989
W â€” HD 15	P004990
W â€” HD 16	P004991
W â€” HD 17	P004992
W â€” HD 18	P004993
W â€” HD 19	P004994
W â€” HD 20	P004995
W â€” HD 21	P004996
W â€” HD 22	P004997
